Ukraine,https://en.wikipedia.org/wiki/Ukraine,Hybrid regime
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan,Authoritarian
Argentina,https://en.wikipedia.org/wiki/Argentina,Flawed democracy
Bolivia,https://en.wikipedia.org/wiki/Bolivia,Hybrid regime
Brazil,https://en.wikipedia.org/wiki/Brazil,Flawed democracy
Chile,https://en.wikipedia.org/wiki/Chile,Full democracy
Colombia,https://en.wikipedia.org/wiki/Colombia,Flawed democracy
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica,Full democracy
Cuba,https://en.wikipedia.org/wiki/Cuba,Authoritarian
Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic,Flawed democracy
Ecuador,https://en.wikipedia.org/wiki/Ecuador,Hybrid regime
El Salvador,https://en.wikipedia.org/wiki/El_Salvador,Hybrid regime
Guatemala,https://en.wikipedia.org/wiki/Guatemala,Hybrid regime
Guyana,https://en.wikipedia.org/wiki/Guyana,Flawed democracy
Haiti,https://en.wikipedia.org/wiki/Haiti,Authoritarian
Honduras,https://en.wikipedia.org/wiki/Honduras,Hybrid regime
Jamaica,https://en.wikipedia.org/wiki/Jamaica,Flawed democracy
Mexico,https://en.wikipedia.org/wiki/Mexico,Hybrid regime
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua,Authoritarian
Panama,https://en.wikipedia.org/wiki/Panama,Flawed democracy
Paraguay,https://en.wikipedia.org/wiki/Paraguay,Hybrid regime
Peru,https://en.wikipedia.org/wiki/Peru,Hybrid regime
Suriname,https://en.wikipedia.org/wiki/Suriname,Flawed democracy
Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago,Flawed democracy
Uruguay,https://en.wikipedia.org/wiki/Uruguay,Full democracy
Venezuela,https://en.wikipedia.org/wiki/Venezuela,Authoritarian
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan,Authoritarian
Australia,https://en.wikipedia.org/wiki/Australia,Full democracy
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh,Hybrid regime
Bhutan,https://en.wikipedia.org/wiki/Bhutan,Hybrid regime
Cambodia,https://en.wikipedia.org/wiki/Cambodia,Authoritarian
China,https://en.wikipedia.org/wiki/China,Authoritarian
Fiji,https://en.wikipedia.org/wiki/Fiji,Hybrid regime
Hong Kong,https://en.wikipedia.org/wiki/Hong_Kong,Hybrid regime
India,https://en.wikipedia.org/wiki/India,Flawed democracy
Indonesia,https://en.wikipedia.org/wiki/Indonesia,Flawed democracy
Japan,https://en.wikipedia.org/wiki/Japan,Full democracy
Laos,https://en.wikipedia.org/wiki/Laos,Authoritarian
Malaysia,https://en.wikipedia.org/wiki/Malaysia,Flawed democracy
Mongolia,https://en.wikipedia.org/wiki/Mongolia,Flawed democracy
Myanmar,https://en.wikipedia.org/wiki/Myanmar,Authoritarian
Nepal,https://en.wikipedia.org/wiki/Nepal,Hybrid regime
New Zealand,https://en.wikipedia.org/wiki/New_Zealand,Full democracy
North Korea,https://en.wikipedia.org/wiki/North_Korea,Authoritarian
Pakistan,https://en.wikipedia.org/wiki/Pakistan,Hybrid regime
Papua New Guinea,https://en.wikipedia.org/wiki/Papua_New_Guinea,Hybrid regime
Philippines,https://en.wikipedia.org/wiki/Philippines,Flawed democracy
Singapore,https://en.wikipedia.org/wiki/Singapore,Flawed democracy
South Korea,https://en.wikipedia.org/wiki/South_Korea,Full democracy
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka,Flawed democracy
Taiwan,https://en.wikipedia.org/wiki/Taiwan,Full democracy
Thailand,https://en.wikipedia.org/wiki/Thailand,Flawed democracy
East Timor,https://en.wikipedia.org/wiki/East_Timor,Flawed democracy
Vietnam,https://en.wikipedia.org/wiki/Vietnam,Authoritarian
Algeria,https://en.wikipedia.org/wiki/Algeria,Authoritarian
Bahrain,https://en.wikipedia.org/wiki/Bahrain,Authoritarian
Egypt,https://en.wikipedia.org/wiki/Egypt,Authoritarian
Iran,https://en.wikipedia.org/wiki/Iran,Authoritarian
Iraq,https://en.wikipedia.org/wiki/Iraq,Authoritarian
Israel,https://en.wikipedia.org/wiki/Israel,Flawed democracy
Jordan,https://en.wikipedia.org/wiki/Jordan,Authoritarian
Kuwait,https://en.wikipedia.org/wiki/Kuwait,Authoritarian
Lebanon,https://en.wikipedia.org/wiki/Lebanon,Authoritarian
Libya,https://en.wikipedia.org/wiki/Libya,Authoritarian
Morocco,https://en.wikipedia.org/wiki/Morocco,Hybrid regime
Oman,https://en.wikipedia.org/wiki/Oman,Authoritarian
Palestine,https://en.wikipedia.org/wiki/State_of_Palestine,Authoritarian
Qatar,https://en.wikipedia.org/wiki/Qatar,Authoritarian
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia,Authoritarian
Sudan,https://en.wikipedia.org/wiki/Sudan,Authoritarian
Syria,https://en.wikipedia.org/wiki/Syria,Authoritarian
Tunisia,https://en.wikipedia.org/wiki/Tunisia,Hybrid regime
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates,Authoritarian
Yemen,https://en.wikipedia.org/wiki/Yemen,Authoritarian
Angola,https://en.wikipedia.org/wiki/Angola,Authoritarian
Benin,https://en.wikipedia.org/wiki/Benin,Hybrid regime
Botswana,https://en.wikipedia.org/wiki/Botswana,Flawed democracy
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso,Authoritarian
Burundi,https://en.wikipedia.org/wiki/Burundi,Authoritarian
Cape Verde,https://en.wikipedia.org/wiki/Cape_Verde,Flawed democracy
Cameroon,https://en.wikipedia.org/wiki/Cameroon,Authoritarian
Central African Republic,https://en.wikipedia.org/wiki/Central_African_Republic,Authoritarian
Chad,https://en.wikipedia.org/wiki/Chad,Authoritarian
Comoros,https://en.wikipedia.org/wiki/Comoros,Authoritarian
Republic of the Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo,Authoritarian
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast,Hybrid regime
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,Authoritarian
Djibouti,https://en.wikipedia.org/wiki/Djibouti,Authoritarian
Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea,Authoritarian
Eritrea,https://en.wikipedia.org/wiki/Eritrea,Authoritarian
Eswatini,https://en.wikipedia.org/wiki/Eswatini,Authoritarian
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia,Authoritarian
Gabon,https://en.wikipedia.org/wiki/Gabon,Authoritarian
Gambia,https://en.wikipedia.org/wiki/The_Gambia,Hybrid regime
Ghana,https://en.wikipedia.org/wiki/Ghana,Flawed democracy
Guinea,https://en.wikipedia.org/wiki/Guinea,Authoritarian
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau,Authoritarian
Kenya,https://en.wikipedia.org/wiki/Kenya,Hybrid regime
Lesotho,https://en.wikipedia.org/wiki/Lesotho,Flawed democracy
Liberia,https://en.wikipedia.org/wiki/Liberia,Hybrid regime
Madagascar,https://en.wikipedia.org/wiki/Madagascar,Hybrid regime
Malawi,https://en.wikipedia.org/wiki/Malawi,Hybrid regime
Mali,https://en.wikipedia.org/wiki/Mali,Authoritarian
Mauritania,https://en.wikipedia.org/wiki/Mauritania,Hybrid regime
Mauritius,https://en.wikipedia.org/wiki/Mauritius,Full democracy
Mozambique,https://en.wikipedia.org/wiki/Mozambique,Authoritarian
Namibia,https://en.wikipedia.org/wiki/Namibia,Flawed democracy
Niger,https://en.wikipedia.org/wiki/Niger,Authoritarian
Nigeria,https://en.wikipedia.org/wiki/Nigeria,Hybrid regime
Rwanda,https://en.wikipedia.org/wiki/Rwanda,Authoritarian
Senegal,https://en.wikipedia.org/wiki/Senegal,Hybrid regime
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone,Hybrid regime
South Africa,https://en.wikipedia.org/wiki/South_Africa,Flawed democracy
Tanzania,https://en.wikipedia.org/wiki/Tanzania,Hybrid regime
Togo,https://en.wikipedia.org/wiki/Togo,Authoritarian
Uganda,https://en.wikipedia.org/wiki/Uganda,Hybrid regime
Zambia,https://en.wikipedia.org/wiki/Zambia,Hybrid regime
Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe,Authoritarian
